nombre,pronvincia_id
"CAMILO PONCE ENRIQUEZ","1"
"CHORDELEG","1"
"CUENCA","1"
"EL PAN","1"
"GIRON","1"
"GUACHAPALA","1"
"GUALACEO","1"
"NABON","1"
"ONA","1"
"PAUTE","1"
"PUCARA","1"
"SAN FERNANDO","1"
"SANTA ISABEL","1"
"SEVILLA DE ORO","1"
"SIGSIG","1"
"CALUMA","2"
"CHILLANES","2"
"CHIMBO","2"
"ECHEANDIA","2"
"GUARANDA","2"
"LAS NAVES","2"
"SAN MIGUEL","2"
"AZOGUES","3"
"BIBLIAN","3"
"CANAR","3"
"DELEG","3"
"EL TAMBO","3"
"LA TRONCAL","3"
"SUSCAL","3"
"BOLIVAR","4"
"ESPEJO","4"
"MIRA","4"
"MONTUFAR (SAN GABRIEL)","4"
"SAN PEDRO DE HUACA","4"
"TULCAN","4"
"ALAUSI","5"
"CHAMBO","5"
"CHUNCHI","5"
"COLTA","5"
"CUMANDA","5"
"GUAMOTE","5"
"GUANO","5"
"PALLATANGA","5"
"PENIPE","5"
"RIOBAMBA","5"
"LA MANA","6"
"LASSO","6"
"LATACUNGA","6"
"PANGUA","6"
"PUJILI","6"
"SALCEDO","6"
"SAQUISILI","6"
"SIGCHOS","6"
"ARENILLAS","7"
"ATAHUALPA","7"
"BALSAS","7"
"CHILLA","7"
"EL GUABO","7"
"HUAQUILLAS","7"
"LAS LAJAS","7"
"MACHALA","7"
"MARCABELI","7"
"PASAJE","7"
"PINAS","7"
"PORTOVELO","7"
"SANTA ROSA","7"
"ZARUMA","7"
"ATACAMES","8"
"ELOY ALFARO (LIMONES)","8"
"ESMERALDAS","8"
"MUISNE","8"
"QUININDE","8"
"RIOVERDE","8"
"SAN LORENZO","8"
"ISABELA","9"
"SAN CRISTOBAL","9"
"SANTA CRUZ","9"
"ALFREDO BAQUERIZO MORENO (JUJAN)","10"
"BALAO","10"
"BALZAR","10"
"COLIMES","10"
"DAULE","10"
"DURAN","10"
"EL EMPALME","10"
"ELOY ALFARO (DURAN)","10"
"EL TRIUNFO","10"
"GENERAL ANTONIO ELIZALDE (BUCAY)","10"
"GUAYAQUIL","10"
"ISIDRO AYORA","10"
"LOMAS DE SARGENTILLO","10"
"CRNEL MARCELINO MARIDUENA","10"
"MILAGRO","10"
"NARANJAL","10"
"NARANJITO","10"
"NARCISA DE JESUS (NOBOL)","10"
"PALESTINA","10"
"PEDRO CARBO","10"
"PLAYAS (GENERAL VILLAMIL)","10"
"SALITRE (URBINA JADO)","10"
"SAMBORONDON","10"
"SANTA LUCIA","10"
"SIMON BOLIVAR","10"
"SAN JACINTO DE YAGUACHI","10"
"URBINA JADO","10"
"ANTONIO ANTE","11"
"ATUNTAQUI","11"
"COTACACHI","11"
"IBARRA","11"
"OTAVALO","11"
"PIMAMPIRO","11"
"SAN MIGUEL DE URCUQUI","11"
"CALVAS (CARIAMANGA)","12"
"CATAMAYO","12"
"CELICA","12"
"CHAGUARPAMBA","12"
"ESPINDOLA (AMALUZA)","12"
"GONZANAMA","12"
"LOJA","12"
"MACARA","12"
"OLMEDO","12"
"PALTAS","12"
"PINDAL","12"
"PUYANGO (ALAMOR)","12"
"QUILANGA","12"
"SARAGURO","12"
"SOZORANGA","12"
"ZAPOTILLO","12"
"BABA","13"
"BABAHOYO","13"
"BUENA FE","13"
"MOCACHE","13"
"MONTALVO","13"
"PALENQUE","13"
"PUEBLOVIEJO","13"
"QUEVEDO","13"
"QUINSALOMA","13"
"URDANETA","13"
"VALENCIA","13"
"VENTANAS","13"
"VINCES","13"
"24 DE MAYO","14"
"BAHIA DE CARAQUEZ","14"
"BOLIVAR (CALCETA)","14"
"CHONE","14"
"EL CARMEN","14"
"FLAVIO ALFARO","14"
"JAMA","14"
"JARAMIJO","14"
"JIPIJAPA","14"
"JUNIN","14"
"MANTA","14"
"MONTECRISTI","14"
"OLMEDO","14"
"PAJAN","14"
"PEDERNALES","14"
"PICHINCHA","14"
"PORTOVIEJO","14"
"PUERTO LOPEZ","14"
"ROCAFUERTE","14"
"SAN VICENTE","14"
"SANTA ANA","14"
"SUCRE","14"
"TOSAGUA","14"
"GUALAQUIZA","15"
"HUAMBOYA","15"
"LIMON INDANZA","15"
"LOGRONO","15"
"MORONA","15"
"PABLO SEXTO","15"
"PALORA","15"
"SAN JUAN BOSCO","15"
"SANTIAGO","15"
"SUCUA","15"
"TAISHA","15"
"TIWINTZA","15"
"ARCHIDONA","16"
"CARLOS JULIO AROSEMENA TOLA","16"
"EL CHACO","16"
"QUIJOS (BAEZA)","16"
"TENA","16"
"AGUARICO","17"
"EL COCA","17"
"FRANCISCO DE ORELLANA","17"
"LA JOYA DE LOS SACHAS","17"
"LORETO","17"
"ORELLANA","17"
"ARAJUNO","18"
"MERA","18"
"PUYO","18"
"SANTA CLARA","18"
"CAYAMBE","19"
"MEJIA (MACHACHI)","19"
